商品名稱,選項,供應商,分類,商品貨號,商品條碼,商品原價,商品特價,實體店價格,會員價,銅級會員價,銀級會員價,金級會員價,批發商戶價,商品成本,預設倉庫,尖沙咀門市,網店倉庫【主庫存】,深水埗門市,HKTV 獨立庫存,庫存總量,總成本
MAX-A The Max 蜜穴Sweet 長瀬麻美 女優名器飛機杯,,,,WD0002538,4570015601029,228.0,,,,,,,,72.03,0,0,0,0,0,0,0.0
Fun Factory Big Boss 震動棒 螢光粉紅,,,,SA02030,4032498802596,998.0,,,,,,,,460.0,1,0,0,0,0,1,460.0
Alice Japan 濕身公主姬春藥 催淫XXX 高潮膏,,,,WD0002539,4988117912439,218.0,,,,,,,,90.65,0,0,0,0,0,0,0.0
Feminate 玉蘭花味 保濕水性潤滑液 70ml,,,,WD0002540,4582364121455,120.0,,,,,,,,40.0,0,0,0,0,0,0,0.0
Femimate 瑪格麗特 保濕水性潤滑液 70ml,,,,WD0002541,4582364121462,120.0,,,,,,,,40.0,0,0,0,0,0,0,0.0
System Jo H2O 有機天然水性潤滑劑 雞尾酒 MIMOSA 含羞草味,,,,WD0002493,796494420102,120.0,,,,,,,,41.0,7,0,0,0,0,7,287.0
System Jo H2O 有機天然水性潤滑劑 雞尾酒 Cosmopolitan,,,,WD0002494,796494420119,120.0,,,,,,,,41.0,7,0,0,0,0,7,287.0
System Jo H2O 有機天然水性潤滑劑 雞尾酒 Mai Tai 味,,,,WD0002495,796494420140,120.0,,,,,,,,41.0,7,0,0,0,0,7,287.0
MyToys Mysecret 手指吸啜震動器 白色,,,,WD0002508,9504000162566,338.0,,,,,,,,155.61,10,1,0,1,0,12,1867.3200000000002
Liebe Seele Bitch 頸圈 黑色,,,,WD0001895,CL-80481BK,278.0,,,,,,,,136.52,1,0,0,0,0,1,136.52
Liebe Seele Slut 頸圈 黑色,,,,WD0002522,CL-80505BK,278.0,,,,,,,,136.52,2,0,0,0,0,2,273.04
NPG 名器覺醒 北野未奈 女優名器飛機杯,,,,WD0002527,4562160138826,338.0,,,,,,,,100.0,6,0,0,0,0,6,600.0
NPG 極上生腰 山岸逢花 真雙穴 女優名器飛機杯,,,,WD0002528,4562160138765,2188.0,,,,,,,,1009.0,2,0,0,0,0,2,2018.0
NPG 真名器 2 小野六花 女優名器飛機杯,,,,WD0002529,4562160138758,428.0,,,,,,,,194.0,5,0,0,0,0,5,970.0
NPG 三女莉央奈 色情三姊妹 動漫名器飛機杯,,,,WD0002529,4571536720725,178.0,,,,,,,,59.0,1,0,0,0,0,1,59.0
SVAKOM Pulse Lite Neo APP無線控制吸啜器 (淺粉紅/海洋藍/薰衣草),顏色: 淺粉紅,,,WD0002531,6959633134429,468.0,,,,,,,,188.0,6,0,0,0,0,6,1128.0
SVAKOM Pulse Lite Neo APP無線控制吸啜器 (淺粉紅/海洋藍/薰衣草),顏色: 海洋藍,,,WD0002532,6959633101193,468.0,,,,,,,,188.0,6,0,0,0,0,6,1128.0
SVAKOM Pulse Lite Neo APP無線控制吸啜器 (淺粉紅/海洋藍/薰衣草),顏色: 薰衣草,,,WD0002533,6959633135464,468.0,,,,,,,,188.0,6,0,0,0,0,6,1128.0
NPG Gekishine Kitou 震動按摩棒 黑色,,,,WD0002530,4571165976609,478.0,,,,,,,,192.0,4,0,0,0,0,4,768.0
裸體為什麼要理由 ； 強調與大自然融合，鼓勵人與人之間的尊重,,,,WD0002534,9789864434107,198.0,,,,,,,,76.0,2,0,0,0,0,2,152.0
OUCH Andres 胸帶,,,,WD0002513,8714273291264,448.0,,,,,,,,172.8,2,0,0,0,0,2,345.6
Bijoux Indiscrets Mimi 乳貼 (銀色/黑色),顏色: 銀色,,,WD0002512,8437008001173,115.0,,,,,,,,38.5,4,0,0,0,0,4,154.0
Bijoux Indiscrets Mimi 乳貼 (銀色/黑色),顏色: 黑色,,,WD0002490,8437008001074,115.0,,,,,,,,38.5,2,0,0,0,0,2,77.0
Ero By Hot Backside 後庭美白膏,,,,WD0002511,4042342003581,188.0,,,,,,,,75.0,6,0,0,0,0,6,450.0
Ero by Hot 持久延時增大膏 30ml,,,,WD0002510,4042342002379,138.0,,,,,,,,43.0,6,0,0,0,0,6,258.0
OUCH Claudia 束縛帶,,,,WD0002514,8714273291110,418.0,,,,,,,,164.34,3,0,0,0,0,3,493.02
OUCH Adonis 胸帶,,,,WD0002515,8714273291189,368.0,,,,,,,,142.0,2,0,0,0,0,2,284.0
OUCH Chara 胸帶,,,,WD0002516,8714273291042,298.0,,,,,,,,115.2,3,0,0,0,0,3,345.6
OUCH Costas 2 胸帶,,,,WD0002517,8714273291257,378.0,,,,,,,,150.0,2,0,0,0,0,2,300.0
【2023情人節限定】TENGA 飛機杯造型 牛奶朱古力,味道: 脆脆可可,,,WD0000004,98498054,79.0,68.0,,0.0,0.0,0.0,0.0,0.0,30.0,-24,0,0,-1,0,-25,-750.0
【2023情人節限定】TENGA 飛機杯造型 牛奶朱古力,味道: 士多啤梨粒,,,WD0000005,88407257,79.0,68.0,,0.0,0.0,0.0,0.0,0.0,30.0,-20,0,0,-1,0,-21,-630.0
【2023情人節限定】TENGA 飛機杯造型 牛奶朱古力,味道: 脆脆檸檬,,,WD0000006,83431619,79.0,68.0,,0.0,0.0,0.0,0.0,0.0,30.0,-16,0,0,-1,0,-17,-510.0
BESIRED Lora 內衣套裝 黑色,,,,WD0002520,8719934008656,168.0,,,,,,,,50.0,4,0,0,0,0,4,200.0
BESIRED 網面緊身連身衣,,,,WD0002521,8719934008687,158.0,,,,,,,,50.0,4,0,0,0,0,4,200.0
Ero By Hot 延時噴霧,,,,WD0002263,4042342003109,108.0,,,,,,,,43.0,5,0,0,0,0,5,215.0
OUCH Subversion 黑色面罩,,,,WD0002509,8714273949523,218.0,,,,,,,,74.7,3,0,0,0,0,3,224.10000000000002
PLAY & JOY POWERMAN 瑪卡活力膠囊,,,,WD0002515,4710243540503,328.0,,,,,,,,158.0,15,0,0,0,0,15,2370.0
We-Vibe Sync 2 情侶共用震動器 (靛藍色/ 紫色/ 粉紅色),顏色: 靛藍色,,,WD0002504,4251460619332,1180.0,,,,,,,,551.0,3,0,0,0,0,3,1653.0
We-Vibe Sync 2 情侶共用震動器 (靛藍色/ 紫色/ 粉紅色),顏色: 紫色,,,WD0002505,4251460619356,1180.0,,,,,,,,551.0,3,0,0,0,0,3,1653.0
We-Vibe Sync 2 情侶共用震動器 (靛藍色/ 紫色/ 粉紅色),顏色: 粉紅色,,,WD0002506,4251460619349,1180.0,,,,,,,,551.0,2,1,0,0,0,3,1653.0
SN-153 情迷兔女郎 (紅色),,,,,15268889,228.0,0.0,,0.0,0.0,0.0,0.0,0.0,68.4,0,0,0,0,0,0,0.0
SN-430 性奴調教,,,,,98000301,199.0,0.0,,0.0,0.0,0.0,0.0,0.0,79.6,0,0,0,0,0,0,0.0
【幸運福袋】後庭福袋,,,,,WD0002503,388.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【幸運福袋】BDSM福袋,,,,,WD0002502,388.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【幸運福袋】男士名器福袋 (動漫版),,,,,WD0002501,388.0,0.0,,0.0,,,,,0.0,-3,0,0,0,0,-3,0.0
【幸運福袋】男士名器福袋 (女優版),,,,,WD0002500,388.0,0.0,,0.0,,,,,0.0,-1,0,0,0,0,-1,0.0
【幸運福袋】男士電動飛機杯福袋 (入門版/豪華版),顏色: 入門版,,,,WD0002498,588.0,,,,,,,,0.0,0,0,0,0,0,0,0.0
【幸運福袋】男士電動飛機杯福袋 (入門版/豪華版),顏色: 豪華版,,,,WD0002499,1088.0,,,,,,,,0.0,0,0,0,0,0,0,0.0
【幸運福袋】情侶福袋,,,,,WD0002497,888.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【幸運福袋】女士吸啜器福袋,,,,,WD0002496,888.0,0.0,,0.0,,,,,0.0,0,0,0,0,0,0,0.0
【幸運福袋】女士震動棒福袋 (入門版/豪華版),顏色: 入門版,,,,WD0002494,388.0,,,,,,,,0.0,-1,0,0,0,0,-1,0.0
【幸運福袋】女士震動棒福袋 (入門版/豪華版),顏色: 豪華版,,,,WD0002495,1288.0,,,,,,,,0.0,-1,0,0,0,0,-1,0.0
【幸運福袋】女士系列 (高價版/低價版/初階版),顏色: 高價版,,,,WD0002492,688.0,,,,,,,,0.0,0,0,0,0,0,0,0.0
【幸運福袋】女士系列 (高價版/低價版/初階版),顏色: 低價版,,,,WD0002493,388.0,,,,,,,,0.0,-1,0,0,0,0,-1,0.0
【幸運福袋】女士系列 (高價版/低價版/初階版),顏色: 初階版,,,,WD0002523,188.0,,,,,,,,0.0,0,0,0,0,0,0,0.0
【幸運福袋】男士系列 (高價版/低價版/初階版),顏色: 高價版,,,,WD0002490,688.0,,,,,,,,0.0,0,0,0,0,0,0,0.0
【幸運福袋】男士系列 (高價版/低價版/初階版),顏色: 低價版,,,,WD0002491,388.0,,,,,,,,0.0,0,0,0,0,0,0,0.0
【幸運福袋】男士系列 (高價版/低價版/初階版),顏色: 初階版,,,,WD0002522,188.0,,,,,,,,0.0,0,0,0,0,0,0,0.0
小怪獸2 鯨魚博士 (青春版/健康版),顏色: 健康版,,,WD0002106,6971668340385,868.0,,,,,,,,445.0,4,2,0,1,1,8,3560.0
小怪獸2 鯨魚博士 (青春版/健康版),顏色: 青春版,,,WD0002107,6971668340781,658.0,,,,,,,,326.0,0,0,0,1,0,1,326.0
TENGA LED LIGHT 夜燈 PREMIUM VACUUM LIGHT,,,,WD0002489,4560220556085,119.0,,,,,,,,59.77,0,0,0,0,0,0,0.0
Sistalk 小怪獸 魔吻專用充電座,,,,WD0002488,35306544,80.0,,,,,,,,40.0,0,0,0,-1,0,-1,-40.0
lubets 天然有機隨身片綜合包,,,,WD0002481,8436586760298,158.0,,,,,,,,79.0,3,0,0,0,0,3,237.0
Strict Leather 七重金屬 貞操鎖 持久環 地獄之門版,,,,WD0002487 (dis),ST305-7,248.0,198.0,,,,,,,100.0,0,0,0,0,0,0,0.0
Svakom Adonis 加熱G點震動棒,顏色: 紫色,,,WD0002485,6959633100561,798.0,,,,,,,,348.0,0,1,0,1,0,2,696.0
Svakom Adonis 加熱G點震動棒,顏色: 玫紅色,,,DIS,85429987,798.0,,,,,,,,348.0,0,0,0,0,0,0,0.0
glas Joystick 玻璃按摩棒,,,,WD0002484,4890808063460,198.0,,,,,,,,35.0,3,1,0,0,0,4,140.0
A-ONE OROCHI SM束縛8米麻繩 黑色,,,,WD0002483,4580140053761,228.0,,,,,,,,106.19,1,0,0,0,0,1,106.19
Fair Squared 防敏感安全套 Sensitive Dry  10片裝,,,,WD0000286 (dis),4260365853161,180.0,99.0,,,,,,,94.8,2,0,0,0,0,2,189.6
Trojan Ultra Ribbed Ecstasy 興奮橫紋狂喜 乳膠安全套 10片裝,,,,TR554VF65,022600947325,148.0,,,,,,,,103.38,1,0,0,0,0,1,103.38
Sagami Value 1000 特薄乳膠安全套 (12片裝）,,,,WD0002478,4974234020560,40.0,,,,,,,,13.7,3,0,0,0,0,3,41.099999999999994
Toynary AP系列 鑽石後庭塞,尺寸: 中 顏色: 紫色,,,TO593BH86 (dis),4897033562645,98.0,78.0,,0.0,,,,,39.0,1,0,0,0,0,1,39.0
We-Vibe Moxie 智能穿戴式陰蒂震動器 黑色,,,,WD0002018(dis),4251460604918,1010.0,888.0,,,,,,,484.0,2,0,0,0,0,2,968.0
Svakom Trysta 雙頭G點按摩棒,顏色: 紫色,,,WD0002476,6959633100578,688.0,,,,,,,,288.0,1,1,0,1,0,3,864.0
Svakom Trysta 雙頭G點按摩棒,顏色: 桃紅色,,,WD0002479,6959633100585,688.0,,,,,,,,288.0,1,0,0,1,0,2,576.0
Sagami Value 1500 防脫落乳膠安全套 (12片裝),,,,WD0002212 (dis),23579140,58.0,48.0,,,,,,,20.0,5,0,0,0,0,5,100.0
SSI Japan 性能力提升 潤滑液 180ml,,,,WD0001701 (dis),4582137936422,128.0,88.0,,,,,,,32.44,4,-1,0,0,0,3,97.32
Intimina Ziggy Cup 性愛月經杯 76ml,,,,WD0000502 (dis),13716674,349.0,239.0,,,,,,,205.3,1,0,0,0,0,1,205.3
Penthouse Hypnotic Power 短款和服配丁字褲 XL,,,,WD0002210,4061504006628,168.0,,,,,,,,50.0,15,0,0,0,0,15,750.0
Penthouse Sweet Beast 連身衣連帶丁字褲襯裙 M/L,,,,WD0002209,4061504004655,168.0,,,,,,,,50.0,15,0,0,0,0,15,750.0
Coslina Premium 卷裝即棄透氣乳貼 100 個裝,,,,WD0002461,8800109030002,98.0,,,,,,,,38.0,2,0,0,0,0,2,76.0
Ohyeah 穿戴式鎖鏈束縛帶 黑色,,,,WD0002462,C81165,108.0,,,,,,,,37.0,1,0,0,0,0,1,37.0
Ohyeah 蕾絲吊帶襪連內褲 黑色 中碼,,,,WD0002463,P5123-1,108.0,,,,,,,,32.0,1,0,0,0,0,1,32.0
Ohya 男士蕾絲內褲 黑色 加大碼,,,,WD0002464,MP047,120.0,,,,,,,,40.0,3,0,0,0,0,3,120.0
Ohyeah 光面丁字褲 銀色 中碼,,,,WD0002465,P5128-2,78.0,,,,,,,,14.0,3,0,0,0,0,3,42.0
Ohyeah 花卉圖案 開襠內褲 黑色 加大碼,,,,WD0002466,P5178-1P,78.0,,,,,,,,25.0,2,0,0,0,0,2,50.0
Ohyeah 腰部縷空內褲 黑色 中碼,,,,WD0002467,P5119,68.0,,,,,,,,21.0,2,0,0,0,0,2,42.0
Ohyeah 性感男士拉鍊內褲 黑色 (大碼/加大碼),顏色: L,,,WD0002468,MP068-1-L,88.0,,,,,,,,29.0,3,0,0,0,0,3,87.0
Ohyeah 性感男士拉鍊內褲 黑色 (大碼/加大碼),顏色: XL,,,WD0002469,MP068-1-XL,88.0,,,,,,,,29.0,3,0,0,0,0,3,87.0
Relove 男性私密清潔凝露 摩洛哥公爵 (30ml / 120ml),尺寸: 30ml,,,WD0002450,87578734,79.0,0.0,,0.0,,,,,39.5,12,1,0,0,0,13,513.5
Relove 男性私密清潔凝露 摩洛哥公爵 (30ml / 120ml),尺寸: 120ml,,,WD0002451,4712933179222,249.0,0.0,,0.0,,,,,124.5,3,0,0,0,0,3,373.5
Ohyeah 緊身男士性感內褲 黑色 大碼,,,,WD0002470,MP062-L,88.0,,0.0,,,,,,29.0,3,0,0,0,0,3,87.0
Ohyeah 拉鍊內褲 黑色 中碼,,,,WD0002471,P5127,98.0,,,,,,,,30.0,3,0,0,0,0,3,90.0
Red Container Chichi Shield 乳貼 100塊裝,,,,WD0002472,8800109030005,118.0,,,,,,,,38.0,3,0,0,0,0,3,114.0
Red Container You Can Do It 乳貼 100塊裝,,,,WD0002473,8800109030012,118.0,,,,,,,,38.0,2,0,0,0,0,2,76.0
Sierra Chaton 卷裝即棄乳貼 100 個裝,,,,WD0002474,8800109030001,138.0,,,,,,,,68.0,3,0,0,0,0,3,204.0
Red Container 乳貼 100塊裝,,,,WD0002475,R000646540005,99.0,,,,,,,,38.0,2,1,0,0,0,3,114.0
Womanizer DUO 2 第二代雙頭陰蒂吸啜按摩棒,顏色: 黑色,,,WD0002460,4251460611107,1710.0,1690.0,,1680.0,,,,,804.74,5,1,0,0,0,6,4828.4400000000005
Womanizer DUO 2 第二代雙頭陰蒂吸啜按摩棒,顏色: 酒紅色,,,WD0002458,4251460611114,1710.0,1690.0,,1680.0,,,,,804.74,4,1,0,0,0,5,4023.7
Womanizer DUO 2 第二代雙頭陰蒂吸啜按摩棒,顏色: 淺紫色,,,WD0002457,4251460611145,1710.0,1690.0,,1680.0,,,,,804.74,1,1,0,0,0,2,1609.48
Womanizer DUO 2 第二代雙頭陰蒂吸啜按摩棒,顏色: 湖水綠,,,WD0002456,4251460611138,1710.0,1690.0,,1680.0,,,,,804.74,6,0,0,0,0,6,4828.4400000000005
Womanizer DUO 2 第二代雙頭陰蒂吸啜按摩棒,顏色: 深籃色,,,WD0002459,4251460611121,1710.0,1690.0,,1680.0,,,,,804.74,6,0,0,1,0,7,5633.18
TENGA 大型入門飛機杯套裝,,,,WD0002381,4570030978908,468.0,,,,,,,,208.0,10,0,0,0,0,10,2080.0
TENGA Puffy 飛機杯 (牛奶啡/ 薄荷綠/棉花糖白),顏色: 啡色,,,WD0002382,4570030977895,549.0,,,,,,,,298.01,10,0,0,0,0,10,2980.1
TENGA Puffy 飛機杯 (牛奶啡/ 薄荷綠/棉花糖白),顏色: 綠色,,,WD0002383,4570030977901,549.0,,,,,,,,298.01,10,0,0,0,0,10,2980.1
TENGA Puffy 飛機杯 (牛奶啡/ 薄荷綠/棉花糖白),顏色: 白色,,,WD0002384,4570030977918,549.0,,,,,,,,298.01,10,0,0,0,0,10,2980.1
Fifty Shades of Grey Play Nice Satin & Lace 手銬,,,,WD0002454,5060462638796,150.0,,,,,,,,70.68,0,0,0,0,0,0,0.0
Fifty Shades of Grey Play Nice Role Play 情趣骰仔,,,,WD0002455,5060779232403,80.0,,,,,,,,39.7,0,0,0,0,0,0,0.0
Lovense Flexer APP控制 仿手指G點內褲震動器,,,,WD0002409,6972677430074,899.0,,,,,,,,429.0,20,1,0,2,0,23,9867.0
Skyn Excite 親密刺激凝膠 15ml,,,,WD0002208,9352417000847,198.0,,,,,,,,84.0,4,0,0,0,0,4,336.0
Lovetoy Bondage Fetish 愉悅腳扣,,,,WD0002392,6970260905923,88.0,,,,,,,,27.06,7,0,0,0,0,7,189.42
Lovetoy Fetish Pleasure 金屬腳扣,,,,WD0002393,6970260900638,88.0,,,,,,,,28.31,10,0,0,0,0,10,283.09999999999997
Lovetoy Fetish Pleasure 蓬鬆毛毛腳扣,,,,WD0002394,6970260900614,118.0,,,,,,,,37.59,10,0,0,0,0,10,375.9
Lovetoy Fetish Pleasure 蓬鬆手銬 (紅色/粉紅色/黑色),顏色: 紅色,,,WD0002395,10726627,108.0,,,,,,,,32.92,9,0,0,1,0,10,329.20000000000005
Lovetoy Fetish Pleasure 蓬鬆手銬 (紅色/粉紅色/黑色),顏色: 粉紅色,,,WD0002396,88756845,108.0,,,,,,,,32.92,6,0,0,0,0,6,197.52
Lovetoy Fetish Pleasure 蓬鬆手銬 (紅色/粉紅色/黑色),顏色: 黑色,,,WD0002397,6970260900607,108.0,,,,,,,,32.92,9,0,0,0,0,9,296.28000000000003
Lovetoy 10米束縛繩,顏色: 粉紅色,,,WD0002398,6970260902519,88.0,,,,,,,,21.9,9,0,0,1,0,10,219.0
Lovetoy 10米束縛繩,顏色: 紅色,,,WD0002399,6970260905978,88.0,,,,,,,,21.9,9,0,0,1,0,10,219.0
Lovetoy 10米束縛繩,顏色: 紫色,,,WD0002400,6970260905985,88.0,,,,,,,,21.9,9,0,0,1,0,10,219.0
Lovetoy 10米束縛繩,顏色: 黑色,,,WD0002401,6970260905992,88.0,,,,,,,,21.9,7,0,0,3,0,10,219.0
Pjur 迷你潤滑劑套裝 4支 x 10ml,,,,WD0002442,827160114329,158.0,,,,,,,,53.0,5,0,0,0,0,5,265.0
pjur superhero 持久噴霧強效型 20ml,,,,WD0002443,827160113131,228.0,,,,,,,,76.0,27,0,0,1,0,28,2128.0
Lovetoy 萬用乳房支架,,,,WD0002437,6970260908733,78.0,,,,,,,,17.39,10,0,0,0,0,10,173.9
Lovetoy Flawless Clear 仿真按摩棒 7.5'',,,,WD0002438,6970260906241,108.0,,,,,,,,32.0,15,0,0,0,0,15,480.0
"Lovetoy Flawless Clear 藍色前列腺塞 (6.0'' / 6.5"")",尺寸: 6.0'',,,WD0002439,6970260906784,118.0,,,,,,,,30.81,6,0,0,0,0,6,184.86
"Lovetoy Flawless Clear 藍色前列腺塞 (6.0'' / 6.5"")","尺寸: 6.5""",,,WD0002440,6970260906791,118.0,,,,,,,,30.81,6,0,0,0,0,6,184.86
Lovetoy 通用仿真假陽具支架,,,,WD0002436,6970260908726,78.0,,,,,,,,17.39,10,0,0,0,0,10,173.9
Lovetoy Rosebud 經典金屬後庭塞 S,顏色: 紅色,,,WD0002427,6970260903608,148.0,,,,,,,,47.0,8,0,0,0,0,8,376.0
Lovetoy Rosebud 經典金屬後庭塞 S,顏色: 深藍色,,,WD0002428,6970260903639,148.0,,,,,,,,47.0,8,0,0,0,0,8,376.0
Lovetoy Rosebud 經典金屬後庭塞 S,顏色: 綠色,,,WD0002429,6970260903592,148.0,,,,,,,,47.0,8,0,0,0,0,8,376.0
Lovetoy Rosebud 經典金屬後庭塞 S,顏色: 藍色,,,WD0002430,6970260903615,148.0,,,,,,,,47.0,8,0,0,0,0,8,376.0
Lovetoy Rosebud 經典金屬後庭塞 S,顏色: 紫色,,,WD0002431,6970260903646,148.0,,,,,,,,47.0,8,0,0,0,0,8,376.0
